"age","year","doy","p_mature","model"
10,2012,278,0.999396799163282,"Spatial + temperature"
10,2013,182,0.998025772768771,"Spatial + temperature"
10,2013,278,0.999553043854237,"Spatial + temperature"
10,2014,182,0.999078360763545,"Spatial + temperature"
10,2014,278,0.999791515133715,"Spatial + temperature"
10,2015,182,0.999087564058182,"Spatial + temperature"
10,2015,278,0.999793598490754,"Spatial + temperature"
10,2016,182,0.995554189435871,"Spatial + temperature"
10,2016,278,0.998991556542714,"Spatial + temperature"
10,2017,182,0.999022624513516,"Spatial + temperature"
10,2017,278,0.999778897440383,"Spatial + temperature"
10,2018,182,0.99930245994535,"Spatial + temperature"
10,2018,278,0.999842236199778,"Spatial + temperature"
10,2019,182,0.997922956981034,"Spatial + temperature"
10,2019,278,0.999529729344629,"Spatial + temperature"
10,2020,182,0.999251011567972,"Spatial + temperature"
10,2020,278,0.999830593285097,"Spatial + temperature"
10,2021,182,0.999269849733113,"Spatial + temperature"
10,2021,278,0.999834856523307,"Spatial + temperature"
10,2022,182,0.999227041904516,"Spatial + temperature"
10,2022,278,0.999825168565015,"Spatial + temperature"
10,2023,182,0.999161417808944,"Spatial + temperature"
10,2023,278,0.999810315746964,"Spatial + temperature"
10,2024,182,0.997786468873585,"Spatial + temperature"
10,2024,278,0.999498773557212,"Spatial + temperature"
11,2003,182,0.999227008533806,"Spatial + temperature"
11,2003,278,0.999825161012547,"Spatial + temperature"
11,2004,182,0.999063749280568,"Spatial + temperature"
11,2004,278,0.999788207459823,"Spatial + temperature"
11,2005,182,0.99920850770229,"Spatial + temperature"
11,2005,278,0.999820973839099,"Spatial + temperature"
11,2006,182,0.998476942000614,"Spatial + temperature"
11,2006,278,0.999655307079518,"Spatial + temperature"
11,2007,182,0.998913362306769,"Spatial + temperature"
11,2007,278,0.999754159263384,"Spatial + temperature"
11,2008,182,0.995867194854376,"Spatial + temperature"
11,2008,278,0.999062783404451,"Spatial + temperature"
11,2009,182,0.998023791229652,"Spatial + temperature"
11,2009,278,0.999552594555516,"Spatial + temperature"
11,2010,182,0.999006658028185,"Spatial + temperature"
11,2010,278,0.999775282712017,"Spatial + temperature"
11,2011,182,0.997841242180507,"Spatial + temperature"
11,2011,278,0.999511197044419,"Spatial + temperature"
11,2012,182,0.997083000644765,"Spatial + temperature"
11,2012,278,0.9993391215414,"Spatial + temperature"
11,2013,182,0.997807799331845,"Spatial + temperature"
11,2013,278,0.999503611781537,"Spatial + temperature"
11,2014,182,0.998981236063701,"Spatial + temperature"
11,2014,278,0.999769527128359,"Spatial + temperature"
11,2015,182,0.99897405267898,"Spatial + temperature"
11,2015,278,0.999767900754602,"Spatial + temperature"
11,2016,182,0.995010795987458,"Spatial + temperature"
11,2016,278,0.99886782078378,"Spatial + temperature"
11,2017,182,0.998908905274842,"Spatial + temperature"
11,2017,278,0.999753150052968,"Spatial + temperature"
11,2018,182,0.999242952564754,"Spatial + temperature"
11,2018,278,0.999828769425617,"Spatial + temperature"
11,2019,182,0.997725522548055,"Spatial + temperature"
11,2019,278,0.999484948687574,"Spatial + temperature"
11,2020,182,0.999177140623507,"Spatial + temperature"
11,2020,278,0.99981387445702,"Spatial + temperature"
11,2021,182,0.999205920947235,"Spatial + temperature"
11,2021,278,0.99982038838601,"Spatial + temperature"
11,2022,182,0.999152689889952,"Spatial + temperature"
11,2022,278,0.999808340227816,"Spatial + temperature"
11,2023,182,0.999073782799226,"Spatial + temperature"
11,2023,278,0.999790478805273,"Spatial + temperature"
11,2024,182,0.99754976980115,"Spatial + temperature"
11,2024,278,0.999445074179067,"Spatial + temperature"
12,2003,182,0.998910902296135,"Spatial + temperature"
12,2003,278,0.999753602241457,"Spatial + temperature"
