Source,Weight_kg,Sex,Age_yrs,Month,Year
CAN_jv,1.367,U,10,6,1990
CAN_jv,1.395,U,10,6,1990
CAN_jv,1.401,U,10,6,1990
CAN_jv,1.472,U,10,6,1990
CAN_jv,1.514,U,10,6,1990
CAN_jv,1.521,U,10,6,1990
CAN_jv,1.685,U,10,6,1990
CAN_jv,0.646,U,11,6,1990
CAN_jv,0.853,U,11,6,1990
CAN_jv,0.824,U,13,6,1990
CAN_jv,0.886,U,13,6,1990
CAN_jv,1.354,U,13,6,1990
CAN_jv,1.441,U,13,6,1990
CAN_jv,1.467,U,13,6,1990
CAN_jv,1.535,U,13,6,1990
CAN_jv,1.617,U,13,6,1990
CAN_jv,0.973,U,17,6,1990
CAN_jv,1.49,U,17,6,1990
CAN_polish,0.476,U,3,7,1990
CAN_polish,0.489,U,3,7,1990
CAN_polish,0.505,U,3,7,1990
CAN_polish,0.557,U,3,7,1990
CAN_polish,0.476,U,4,7,1990
CAN_polish,0.531,U,4,7,1990
CAN_polish,0.538,U,4,7,1990
CAN_polish,0.546,U,4,7,1990
CAN_polish,0.582,U,4,7,1990
CAN_polish,0.595,U,4,7,1990
CAN_polish,0.61,U,4,7,1990
CAN_polish,0.576,U,5,7,1990
CAN_polish,0.458,U,6,7,1990
CAN_polish,0.464,U,6,7,1990
CAN_polish,0.492,U,6,7,1990
CAN_polish,0.494,U,6,7,1990
CAN_polish,0.512,U,6,7,1990
CAN_polish,0.513,U,6,7,1990
CAN_polish,0.518,U,6,7,1990
CAN_polish,0.529,U,6,7,1990
CAN_polish,0.532,U,6,7,1990
CAN_polish,0.535,U,6,7,1990
CAN_polish,0.535,U,6,7,1990
CAN_polish,0.54,U,6,7,1990
CAN_polish,0.55,U,6,7,1990
CAN_polish,0.566,U,6,7,1990
CAN_polish,0.572,U,6,7,1990
CAN_polish,0.572,U,6,7,1990
CAN_polish,0.573,U,6,7,1990
CAN_polish,0.591,U,6,7,1990
CAN_polish,0.593,U,6,7,1990
CAN_polish,0.593,U,6,7,1990
CAN_polish,0.596,U,6,7,1990
CAN_polish,0.597,U,6,7,1990
CAN_polish,0.599,U,6,7,1990
CAN_polish,0.604,U,6,7,1990
CAN_polish,0.608,U,6,7,1990
CAN_polish,0.615,U,6,7,1990
CAN_polish,0.62,U,6,7,1990
CAN_polish,0.628,U,6,7,1990
CAN_polish,0.63,U,6,7,1990
CAN_polish,0.63,U,6,7,1990
CAN_polish,0.633,U,6,7,1990
CAN_polish,0.634,U,6,7,1990
CAN_polish,0.641,U,6,7,1990
CAN_polish,0.647,U,6,7,1990
CAN_polish,0.648,U,6,7,1990
